"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"SV_1_Enterobacterales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Alteromonadaceae"	"Alteromonas"	"(RS_GCF_001953635.1)"
"SV_2_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Litoreibacter"	"Litoreibacter_janthinus(RS_GCF_900111945.1)"
"SV_3_Enterobacterales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Alteromonadaceae"	NA	NA
"SV_4_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"HIMB11"	"(RS_GCF_000472185.1)"
"SV_5_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Cryomorphaceae"	NA	NA
"SV_6_Enterobacterales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Alteromonadaceae"	"Alteromonas"	NA
"SV_7_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Jannaschia"	"Jannaschia_faecimaris(RS_GCF_900107415.1)"
"SV_8_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	NA	NA
"SV_9_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	NA	NA
"SV_10_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	NA	NA
"SV_11_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	NA	NA
"SV_12_Campylobacterales"	"Bacteria"	"Campylobacterota"	"Campylobacteria"	"Campylobacterales"	"Arcobacteraceae"	"Arcobacter"	"Arcobacter_lekithochrous(RS_GCF_001878855.1)"
"SV_13_Campylobacterales"	"Bacteria"	"Campylobacterota"	"Campylobacteria"	"Campylobacterales"	"Arcobacteraceae"	"Arcobacter"	"Arcobacter_lekithochrous(RS_GCF_001878855.1)"
"SV_14_Pelagibacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Pelagibacterales"	"Pelagibacteraceae"	"Pelagibacter"	NA
"SV_15_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	NA	NA
"SV_16_Enterobacterales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Alteromonadaceae"	"Alteromonas"	NA
"SV_17_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Cryomorphaceae"	"UBA10364"	"(GB_GCA_002378005.1)"
"SV_18_Actinomycetales"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Actinomycetales"	"Microbacteriaceae"	"UBA1487"	"(GB_GCA_002325245.1)"
"SV_19_Pelagibacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Pelagibacterales"	"Pelagibacteraceae"	"Pelagibacter"	"Pelagibacter_ubique_D(RS_GCF_001180225.1)"
"SV_20_Campylobacterales"	"Bacteria"	"Campylobacterota"	"Campylobacteria"	"Campylobacterales"	"Arcobacteraceae"	"Arcobacter"	"Arcobacter_nitrofigilis(RS_GCF_000092245.1)"
"SV_21_Enterobacterales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Alteromonadaceae"	"Alteromonas"	"Alteromonas_australica(RS_GCF_000730385.1)"
"SV_22_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Nereida"	"Nereida_ignava(RS_GCF_900114125.1)"
"SV_23_Pseudomonadales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Saccharospirillaceae"	"Oleibacter"	"Oleibacter_marinus(RS_GCF_900156675.1)"
"SV_24_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Tenacibaculum"	NA
"SV_25_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	NA	NA
"SV_26_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Thalassobacter"	"Thalassobacter_stenotrophicus(RS_GCF_001458315.1)"
"SV_27_Enterobacterales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Alteromonadaceae"	"Alteromonas"	"(RS_GCF_001953635.1)"
"SV_28_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Ruegeria"	"Ruegeria_profundi(RS_GCF_001507545.1)"
"SV_29_Enterobacterales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Alteromonadaceae"	"Alteromonas"	NA
"SV_30_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Tenacibaculum"	"(RS_GCF_000518405.1)"
"SV_31_NA"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	NA	NA	NA	NA
"SV_32_Balneolales"	"Bacteria"	"Bacteroidota"	"Rhodothermia"	"Balneolales"	"Balneolaceae"	"UBA1275"	"(GB_GCA_002689185.1)"
"SV_33_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Leisingera"	NA
"SV_34_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Pseudophaeobacter"	"(RS_GCF_000152965.1)"
"SV_35_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	NA	NA
"SV_36_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Pseudoruegeria_A"	"Pseudoruegeria_A_aquimaris(RS_GCF_900172235.1)"
"SV_37_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Polaribacter"	NA
"SV_38_Pelagibacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Pelagibacterales"	"Pelagibacteraceae"	"Pelagibacter"	NA
"SV_39_Pseudomonadales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	NA	NA	NA
"SV_40_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Cryomorphaceae"	"UBA10364"	"(GB_GCA_002378005.1)"
"SV_41_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"HIMB11"	"(RS_GCF_000472185.1)"
"SV_42_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Ruegeria_A"	"(RS_GCF_000014065.1)"
"SV_43_Pelagibacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Pelagibacterales"	"Pelagibacteraceae"	"Pelagibacter_A"	"Pelagibacter_A_ubique(GB_GCA_000419545.1)"
"SV_44_Balneolales"	"Bacteria"	"Bacteroidota"	"Rhodothermia"	"Balneolales"	"Balneolaceae"	"UBA1275"	"(GB_GCA_002689185.1)"
"SV_45_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Cryomorphaceae"	"UBA10364"	"(GB_GCA_002378005.1)"
"SV_46_Pseudomonadales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Hahellaceae"	"Marinobacter"	NA
